safra,estagio,parcela,dose,bloco,atributo,valor
2023_2024,V6,15,50,1,spec_p10,0.119022
2023_2024,V6,15,50,1,spec_p50,0.308516
2023_2024,V6,15,50,1,spec_p90,0.692307
2023_2024,V6,15,50,1,glcm_asm,0.0135378
2023_2024,V6,15,50,1,glcm_contrast,2.5786
2023_2024,V6,15,50,1,glcm_correlation,0.913474
2023_2024,V6,15,50,1,glcm_variance,14.9008
2023_2024,V6,15,50,1,glcm_idm,0.539462
2023_2024,V6,15,50,1,glcm_sum_average,14.924
2023_2024,V6,15,50,1,glcm_sum_variance,190.722
2023_2024,V6,15,50,1,glcm_sum_entropy,3.36128
2023_2024,V6,15,50,1,glcm_entropy,4.50514
2023_2024,V6,15,50,1,glcm_diff_entropy,1.39526
2023_2024,V6,15,50,1,glcm_imc1,-0.331041
2023_2024,V6,15,50,1,glcm_imc2,0.912454
2023_2024,V6,15,50,1,glcm_mcc,0.915981
2023_2024,V6,15,50,1,glcm_dissimilarity,1.1842
2023_2024,V6,15,50,1,glcm_inertia,2.5786
2023_2024,V6,15,50,1,glcm_cluster_shade,-69.4945
2023_2024,V6,15,50,1,glcm_cluster_prominence,7205.12
2023_2024,V6,15,50,1,glcm_homogeneity,0.583104
2023_2024,V6,15,50,1,glcmw3_asm,0.331925
2023_2024,V6,15,50,1,glcmw3_contrast,0.688636
2023_2024,V6,15,50,1,glcmw3_entropy,1.31719
2023_2024,V6,15,50,1,glcmw3_correlation,0.597584
2023_2024,V6,15,50,1,glcmw3_homogeneity,0.745164
2023_2024,V6,15,50,1,glcmw5_asm,0.209128
2023_2024,V6,15,50,1,glcmw5_contrast,0.691287
2023_2024,V6,15,50,1,glcmw5_entropy,1.87907
2023_2024,V6,15,50,1,glcmw5_correlation,0.743741
2023_2024,V6,15,50,1,glcmw5_homogeneity,0.74457
2023_2024,V6,15,50,1,glcmw7_asm,0.15644
2023_2024,V6,15,50,1,glcmw7_contrast,0.692771
2023_2024,V6,15,50,1,glcmw7_entropy,2.20793
2023_2024,V6,15,50,1,glcmw7_correlation,0.80085
2023_2024,V6,15,50,1,glcmw7_homogeneity,0.744335
2023_2024,V6,15,50,1,rgb_glcm_asm,0.0179803
2023_2024,V6,15,50,1,rgb_glcm_contrast,2.16834
2023_2024,V6,15,50,1,rgb_glcm_correlation,0.906692
2023_2024,V6,15,50,1,rgb_glcm_variance,11.6192
2023_2024,V6,15,50,1,rgb_glcm_idm,0.568051
2023_2024,V6,15,50,1,rgb_glcm_sum_average,11.9621
2023_2024,V6,15,50,1,rgb_glcm_sum_variance,120.291
2023_2024,V6,15,50,1,rgb_glcm_sum_entropy,3.24535
2023_2024,V6,15,50,1,rgb_glcm_entropy,4.31173
2023_2024,V6,15,50,1,rgb_glcm_diff_entropy,1.32357
2023_2024,V6,15,50,1,rgb_glcm_imc1,-0.332281
2023_2024,V6,15,50,1,rgb_glcm_imc2,0.905872
2023_2024,V6,15,50,1,rgb_glcm_mcc,0.907311
2023_2024,V6,15,50,1,rgb_glcm_dissimilarity,1.07166
2023_2024,V6,15,50,1,rgb_glcm_inertia,2.16834
2023_2024,V6,15,50,1,rgb_glcm_cluster_shade,95.393
2023_2024,V6,15,50,1,rgb_glcm_cluster_prominence,5536.72
2023_2024,V6,15,50,1,rgb_glcm_homogeneity,0.605607
2023_2024,V6,15,50,1,rgb_glcmw3_asm,0.351288
2023_2024,V6,15,50,1,rgb_glcmw3_contrast,0.58611
2023_2024,V6,15,50,1,rgb_glcmw3_entropy,1.25676
2023_2024,V6,15,50,1,rgb_glcmw3_correlation,0.517177
2023_2024,V6,15,50,1,rgb_glcmw3_homogeneity,0.768192
2023_2024,V6,15,50,1,rgb_glcmw5_asm,0.228567
2023_2024,V6,15,50,1,rgb_glcmw5_contrast,0.585609
2023_2024,V6,15,50,1,rgb_glcmw5_entropy,1.77811
2023_2024,V6,15,50,1,rgb_glcmw5_correlation,0.680636
